method,subset,image,num_faces_detected,false_positives,not_found,detection_time,accuracy
Dlib HOG,train,4a860d1b-83ac-11ee-a56c-9cfeff47d2fa.jpg,0,0,1,0.9084832668304443,0.0
Dlib HOG,train,4b3d3fac-83ac-11ee-9e01-9cfeff47d2fa.jpg,0,0,1,0.8647022247314453,0.0
Dlib HOG,train,4b79b37b-83ac-11ee-842c-9cfeff47d2fa.jpg,0,0,1,0.8294031620025635,0.0
Dlib HOG,train,4bb6abdf-83ac-11ee-a54b-9cfeff47d2fa.jpg,0,0,1,0.8447606563568115,0.0
Dlib HOG,train,4bf429da-83ac-11ee-bcd6-9cfeff47d2fa.jpg,1,1,1,0.8523266315460205,0.0
Dlib HOG,val,45c0a15d-83ac-11ee-a84e-9cfeff47d2fa.jpg,0,0,1,0.9294226169586182,0.0
Dlib HOG,val,472f2539-83ac-11ee-9ed0-9cfeff47d2fa.jpg,1,0,0,0.8870038986206055,1.0
Dlib HOG,val,47e60922-83ac-11ee-8188-9cfeff47d2fa.jpg,1,0,0,0.8299703598022461,1.0
Dlib HOG,val,4affc784-83ac-11ee-9909-9cfeff47d2fa.jpg,0,0,1,0.8363649845123291,0.0
FaceNet,test,4598b7e9-83ac-11ee-b027-9cfeff47d2fa.jpg,0,0,1,4.5511205196380615,0.0
FaceNet,test,46f2719c-83ac-11ee-a728-9cfeff47d2fa.jpg,1,0,0,2.5768587589263916,1.0
FaceNet,test,4860544a-83ac-11ee-b85c-9cfeff47d2fa.jpg,1,0,0,2.6428070068359375,1.0
FaceNet,test,4a0be73b-83ac-11ee-b293-9cfeff47d2fa.jpg,1,0,0,2.5835344791412354,1.0
FaceNet,test,4ac2bd8b-83ac-11ee-94e3-9cfeff47d2fa.jpg,1,0,0,2.4934282302856445,1.0
FaceNet,train,45743621-83ac-11ee-9222-9cfeff47d2fa.jpg,1,0,0,2.614264965057373,1.0
FaceNet,train,45fe4272-83ac-11ee-974f-9cfeff47d2fa.jpg,0,0,1,2.5757970809936523,0.0
FaceNet,train,463b6955-83ac-11ee-9b8f-9cfeff47d2fa.jpg,1,0,0,2.5859827995300293,1.0
FaceNet,train,467ae200-83ac-11ee-903f-9cfeff47d2fa.jpg,1,0,0,2.589789867401123,1.0
FaceNet,train,46b563de-83ac-11ee-8c6a-9cfeff47d2fa.jpg,1,1,1,2.6434290409088135,0.0
FaceNet,train,476c87ed-83ac-11ee-a88d-9cfeff47d2fa.jpg,1,0,0,2.6914620399475098,1.0
FaceNet,train,47a94336-83ac-11ee-8a48-9cfeff47d2fa.jpg,1,0,0,2.642580270767212,1.0
FaceNet,train,47e60921-83ac-11ee-8188-9cfeff47d2fa.jpg,1,0,0,2.567734956741333,1.0
FaceNet,train,482399c5-83ac-11ee-b18d-9cfeff47d2fa.jpg,1,0,0,2.7250983715057373,1.0
FaceNet,train,489d1547-83ac-11ee-b751-9cfeff47d2fa.jpg,2,1,0,2.506983757019043,1.0
FaceNet,train,48da29b8-83ac-11ee-9494-9cfeff47d2fa.jpg,0,0,1,2.4670543670654297,0.0
FaceNet,train,49175421-83ac-11ee-8e37-9cfeff47d2fa.jpg,0,0,1,2.3911380767822266,0.0
FaceNet,train,4954300a-83ac-11ee-a1c8-9cfeff47d2fa.jpg,1,1,1,2.5249369144439697,0.0
FaceNet,train,4991b5d6-83ac-11ee-8469-9cfeff47d2fa.jpg,1,0,0,2.500507116317749,1.0
FaceNet,train,49ceec8d-83ac-11ee-90e4-9cfeff47d2fa.jpg,1,0,0,2.645557403564453,1.0
FaceNet,train,4a487da2-83ac-11ee-bcf1-9cfeff47d2fa.jpg,1,0,0,2.5969929695129395,1.0
FaceNet,train,4a860d1b-83ac-11ee-a56c-9cfeff47d2fa.jpg,0,0,1,2.524759292602539,0.0
FaceNet,train,4b3d3fac-83ac-11ee-9e01-9cfeff47d2fa.jpg,0,0,1,2.419339418411255,0.0
FaceNet,train,4b79b37b-83ac-11ee-842c-9cfeff47d2fa.jpg,0,0,1,2.362973213195801,0.0
FaceNet,train,4bb6abdf-83ac-11ee-a54b-9cfeff47d2fa.jpg,1,0,0,2.624009847640991,1.0
FaceNet,train,4bf429da-83ac-11ee-bcd6-9cfeff47d2fa.jpg,1,0,0,2.8285927772521973,1.0
FaceNet,val,45c0a15d-83ac-11ee-a84e-9cfeff47d2fa.jpg,0,0,1,2.576259136199951,0.0
FaceNet,val,472f2539-83ac-11ee-9ed0-9cfeff47d2fa.jpg,1,0,0,2.6468024253845215,1.0
FaceNet,val,47e60922-83ac-11ee-8188-9cfeff47d2fa.jpg,1,0,0,2.6032555103302,1.0
FaceNet,val,4affc784-83ac-11ee-9909-9cfeff47d2fa.jpg,1,1,1,2.5821616649627686,0.0
Face Recognition,test,4598b7e9-83ac-11ee-b027-9cfeff47d2fa.jpg,0,0,1,0.07610273361206055,0.0
Face Recognition,test,46f2719c-83ac-11ee-a728-9cfeff47d2fa.jpg,0,0,1,0.07613396644592285,0.0
Face Recognition,test,4860544a-83ac-11ee-b85c-9cfeff47d2fa.jpg,0,0,1,0.07607865333557129,0.0
Face Recognition,test,4a0be73b-83ac-11ee-b293-9cfeff47d2fa.jpg,0,0,1,0.08786129951477051,0.0
Face Recognition,test,4ac2bd8b-83ac-11ee-94e3-9cfeff47d2fa.jpg,0,0,1,0.0881502628326416,0.0
Face Recognition,train,45743621-83ac-11ee-9222-9cfeff47d2fa.jpg,0,0,1,0.08067941665649414,0.0
Face Recognition,train,45fe4272-83ac-11ee-974f-9cfeff47d2fa.jpg,0,0,1,0.08210325241088867,0.0
Face Recognition,train,463b6955-83ac-11ee-9b8f-9cfeff47d2fa.jpg,0,0,1,0.08588910102844238,0.0
Face Recognition,train,467ae200-83ac-11ee-903f-9cfeff47d2fa.jpg,0,0,1,0.07619857788085938,0.0
Face Recognition,train,46b563de-83ac-11ee-8c6a-9cfeff47d2fa.jpg,0,0,1,0.06943082809448242,0.0
Face Recognition,train,476c87ed-83ac-11ee-a88d-9cfeff47d2fa.jpg,0,0,1,0.08073878288269043,0.0
Face Recognition,train,47a94336-83ac-11ee-8a48-9cfeff47d2fa.jpg,0,0,1,0.08842325210571289,0.0
Face Recognition,train,47e60921-83ac-11ee-8188-9cfeff47d2fa.jpg,0,0,1,0.07242608070373535,0.0
Face Recognition,train,482399c5-83ac-11ee-b18d-9cfeff47d2fa.jpg,0,0,1,0.07188177108764648,0.0
Face Recognition,train,489d1547-83ac-11ee-b751-9cfeff47d2fa.jpg,0,0,1,0.08256196975708008,0.0
Face Recognition,train,48da29b8-83ac-11ee-9494-9cfeff47d2fa.jpg,0,0,1,0.08058881759643555,0.0
Face Recognition,train,49175421-83ac-11ee-8e37-9cfeff47d2fa.jpg,0,0,1,0.07227516174316406,0.0
Face Recognition,train,4954300a-83ac-11ee-a1c8-9cfeff47d2fa.jpg,0,0,1,0.06407499313354492,0.0
Face Recognition,train,4991b5d6-83ac-11ee-8469-9cfeff47d2fa.jpg,0,0,1,0.09728598594665527,0.0
Face Recognition,train,49ceec8d-83ac-11ee-90e4-9cfeff47d2fa.jpg,0,0,1,0.08043551445007324,0.0
Face Recognition,train,4a487da2-83ac-11ee-bcf1-9cfeff47d2fa.jpg,0,0,1,0.0646359920501709,0.0
Face Recognition,train,4a860d1b-83ac-11ee-a56c-9cfeff47d2fa.jpg,0,0,1,0.08048319816589355,0.0
Face Recognition,train,4b3d3fac-83ac-11ee-9e01-9cfeff47d2fa.jpg,0,0,1,0.08423948287963867,0.0
Face Recognition,train,4b79b37b-83ac-11ee-842c-9cfeff47d2fa.jpg,0,0,1,0.08075618743896484,0.0
Face Recognition,train,4bb6abdf-83ac-11ee-a54b-9cfeff47d2fa.jpg,0,0,1,0.08886432647705078,0.0
Face Recognition,train,4bf429da-83ac-11ee-bcd6-9cfeff47d2fa.jpg,0,0,1,0.07311177253723145,0.0
Face Recognition,val,45c0a15d-83ac-11ee-a84e-9cfeff47d2fa.jpg,0,0,1,0.07225966453552246,0.0
Face Recognition,val,472f2539-83ac-11ee-9ed0-9cfeff47d2fa.jpg,0,0,1,0.0721278190612793,0.0
Face Recognition,val,47e60922-83ac-11ee-8188-9cfeff47d2fa.jpg,0,0,1,0.08388209342956543,0.0
Face Recognition,val,4affc784-83ac-11ee-9909-9cfeff47d2fa.jpg,0,0,1,0.07255172729492188,0.0
Haar Cascade,test,f47812f7-8335-11ee-8266-9cfeff47d2fa.jpg,0,0,1,0.04023122787475586,0.0
Haar Cascade,test,f6002dd6-8335-11ee-b9ec-9cfeff47d2fa.jpg,1,0,0,0.03201103210449219,1.0
Haar Cascade,test,f69e6a64-8335-11ee-9c58-9cfeff47d2fa.jpg,0,0,1,0.03299427032470703,0.0
Haar Cascade,test,f7d8de00-8335-11ee-b6bf-9cfeff47d2fa.jpg,1,1,1,0.03658652305603027,0.0
Haar Cascade,test,f9134bf5-8335-11ee-b735-9cfeff47d2fa.jpg,0,0,1,0.03199601173400879,0.0
Haar Cascade,train,f3d9f09a-8335-11ee-9a89-9cfeff47d2fa.jpg,0,0,1,0.016326904296875,0.0
Haar Cascade,train,f429962b-8335-11ee-a62b-9cfeff47d2fa.jpg,0,0,1,0.03197669982910156,0.0
Haar Cascade,train,f4c656f6-8335-11ee-af95-9cfeff47d2fa.jpg,1,0,0,0.03103470802307129,1.0
Haar Cascade,train,f5627bbe-8335-11ee-b71c-9cfeff47d2fa.jpg,0,0,1,0.037199974060058594,0.0
Haar Cascade,train,f5b06725-8335-11ee-8d05-9cfeff47d2fa.jpg,0,0,1,0.03200054168701172,0.0
Haar Cascade,train,f6501105-8335-11ee-b53a-9cfeff47d2fa.jpg,0,0,1,0.02786993980407715,0.0
Haar Cascade,train,f6ec124d-8335-11ee-aa67-9cfeff47d2fa.jpg,0,0,1,0.0245821475982666,0.0
Haar Cascade,train,f73c51d3-8335-11ee-9934-9cfeff47d2fa.jpg,0,0,1,0.0239717960357666,0.0
Haar Cascade,train,f78a7d1d-8335-11ee-b9c8-9cfeff47d2fa.jpg,0,0,1,0.03220558166503906,0.0
Haar Cascade,train,f826b619-8335-11ee-ba0b-9cfeff47d2fa.jpg,0,0,1,0.0316777229309082,0.0
Haar Cascade,train,f8c53c90-8335-11ee-9f1c-9cfeff47d2fa.jpg,0,0,1,0.032059669494628906,0.0
Haar Cascade,train,f96353c8-8335-11ee-9289-9cfeff47d2fa.jpg,1,1,1,0.032468318939208984,0.0
Haar Cascade,train,fa00ffc5-8335-11ee-b02e-9cfeff47d2fa.jpg,0,0,1,0.02886676788330078,0.0
Haar Cascade,train,fa51943f-8335-11ee-8eed-9cfeff47d2fa.jpg,0,0,1,0.03212118148803711,0.0
Haar Cascade,train,faf2e6a3-8335-11ee-932a-9cfeff47d2fa.jpg,0,0,1,0.03218650817871094,0.0
Haar Cascade,train,fb42e89d-8335-11ee-819a-9cfeff47d2fa.jpg,0,0,1,0.03200840950012207,0.0
Haar Cascade,train,fb935431-8335-11ee-94da-9cfeff47d2fa.jpg,1,0,0,0.032021284103393555,1.0
Haar Cascade,train,fbe21232-8335-11ee-9efb-9cfeff47d2fa.jpg,1,0,0,0.03754281997680664,1.0
Haar Cascade,train,fc3278a3-8335-11ee-8393-9cfeff47d2fa.jpg,1,1,1,0.03196001052856445,0.0
Haar Cascade,train,fc84be21-8335-11ee-b45a-9cfeff47d2fa.jpg,0,0,1,0.02429962158203125,0.0
Haar Cascade,train,fcd4c992-8335-11ee-8b82-9cfeff47d2fa.jpg,1,1,1,0.03202462196350098,0.0
Haar Cascade,val,f5148e3a-8335-11ee-b233-9cfeff47d2fa.jpg,1,1,1,0.03216433525085449,0.0
Haar Cascade,val,f875155f-8335-11ee-9c28-9cfeff47d2fa.jpg,1,0,0,0.032396793365478516,1.0
Haar Cascade,val,f9b101ac-8335-11ee-9f75-9cfeff47d2fa.jpg,1,0,0,0.03247475624084473,1.0
Haar Cascade,val,faa2682e-8335-11ee-816f-9cfeff47d2fa.jpg,0,0,1,0.03240633010864258,0.0
Dlib HOG,test,f47812f7-8335-11ee-8266-9cfeff47d2fa.jpg,1,0,0,0.2409071922302246,1.0
Dlib HOG,test,f6002dd6-8335-11ee-b9ec-9cfeff47d2fa.jpg,0,0,1,0.2872655391693115,0.0
Dlib HOG,test,f69e6a64-8335-11ee-9c58-9cfeff47d2fa.jpg,0,0,1,0.29125118255615234,0.0
Dlib HOG,test,f7d8de00-8335-11ee-b6bf-9cfeff47d2fa.jpg,0,0,1,0.2808570861816406,0.0
Dlib HOG,test,f9134bf5-8335-11ee-b735-9cfeff47d2fa.jpg,0,0,1,0.2740213871002197,0.0
Dlib HOG,train,f3d9f09a-8335-11ee-9a89-9cfeff47d2fa.jpg,0,0,1,0.2736546993255615,0.0
Dlib HOG,train,f429962b-8335-11ee-a62b-9cfeff47d2fa.jpg,1,0,0,0.2656114101409912,1.0
Dlib HOG,train,f4c656f6-8335-11ee-af95-9cfeff47d2fa.jpg,1,0,0,0.2975783348083496,1.0
Dlib HOG,train,f5627bbe-8335-11ee-b71c-9cfeff47d2fa.jpg,0,0,1,0.29767441749572754,0.0
Dlib HOG,train,f5b06725-8335-11ee-8d05-9cfeff47d2fa.jpg,0,0,1,0.2889368534088135,0.0
Dlib HOG,train,f6501105-8335-11ee-b53a-9cfeff47d2fa.jpg,0,0,1,0.28902173042297363,0.0
Dlib HOG,train,f6ec124d-8335-11ee-aa67-9cfeff47d2fa.jpg,0,0,1,0.30503296852111816,0.0
Dlib HOG,train,f73c51d3-8335-11ee-9934-9cfeff47d2fa.jpg,0,0,1,0.2619798183441162,0.0
Dlib HOG,train,f78a7d1d-8335-11ee-b9c8-9cfeff47d2fa.jpg,0,0,1,0.27323341369628906,0.0
Dlib HOG,train,f826b619-8335-11ee-ba0b-9cfeff47d2fa.jpg,0,0,1,0.25781679153442383,0.0
