method,dataset,subset,image,num_faces_detected,false_positives,not_found,detection_time,accuracy
Dlib HOG,seccam,train,4991b5d6-83ac-11ee-8469-9cfeff47d2fa.jpg,1,0,0,0.5409908294677734,1.0
Dlib HOG,seccam,train,49ceec8d-83ac-11ee-90e4-9cfeff47d2fa.jpg,1,0,0,0.4837303161621094,1.0
Dlib HOG,seccam,train,4a487da2-83ac-11ee-bcf1-9cfeff47d2fa.jpg,0,0,1,0.510822057723999,0.0
Dlib HOG,seccam,train,4a860d1b-83ac-11ee-a56c-9cfeff47d2fa.jpg,0,0,1,0.5080864429473877,0.0
Dlib HOG,seccam,train,4b3d3fac-83ac-11ee-9e01-9cfeff47d2fa.jpg,0,0,1,0.4926440715789795,0.0
Dlib HOG,seccam,train,4b79b37b-83ac-11ee-842c-9cfeff47d2fa.jpg,0,0,1,0.5221784114837646,0.0
Dlib HOG,seccam,train,4bb6abdf-83ac-11ee-a54b-9cfeff47d2fa.jpg,0,0,1,0.5278136730194092,0.0
Dlib HOG,seccam,train,4bf429da-83ac-11ee-bcd6-9cfeff47d2fa.jpg,1,1,1,0.5671677589416504,0.0
Dlib HOG,seccam,val,45c0a15d-83ac-11ee-a84e-9cfeff47d2fa.jpg,0,0,1,0.5344448089599609,0.0
Dlib HOG,seccam,val,472f2539-83ac-11ee-9ed0-9cfeff47d2fa.jpg,1,0,0,0.5292294025421143,1.0
Dlib HOG,seccam,val,47e60922-83ac-11ee-8188-9cfeff47d2fa.jpg,1,0,0,0.5051896572113037,1.0
Dlib HOG,seccam,val,4affc784-83ac-11ee-9909-9cfeff47d2fa.jpg,0,0,1,0.4992051124572754,0.0
FaceNet,seccam,test,4598b7e9-83ac-11ee-b027-9cfeff47d2fa.jpg,0,0,1,3.122859001159668,0.0
FaceNet,seccam,test,46f2719c-83ac-11ee-a728-9cfeff47d2fa.jpg,1,0,0,3.1260688304901123,1.0
FaceNet,seccam,test,4860544a-83ac-11ee-b85c-9cfeff47d2fa.jpg,1,0,0,3.1135120391845703,1.0
FaceNet,seccam,test,4a0be73b-83ac-11ee-b293-9cfeff47d2fa.jpg,1,0,0,3.1122093200683594,1.0
FaceNet,seccam,test,4ac2bd8b-83ac-11ee-94e3-9cfeff47d2fa.jpg,1,0,0,3.112375020980835,1.0
FaceNet,seccam,train,45743621-83ac-11ee-9222-9cfeff47d2fa.jpg,1,0,0,12.734092235565186,1.0
FaceNet,seccam,train,45fe4272-83ac-11ee-974f-9cfeff47d2fa.jpg,0,0,1,12.677342653274536,0.0
FaceNet,seccam,train,463b6955-83ac-11ee-9b8f-9cfeff47d2fa.jpg,1,0,0,12.33796501159668,1.0
FaceNet,seccam,train,467ae200-83ac-11ee-903f-9cfeff47d2fa.jpg,1,0,0,12.523826122283936,1.0
FaceNet,seccam,train,46b563de-83ac-11ee-8c6a-9cfeff47d2fa.jpg,1,1,1,12.45544171333313,0.0
FaceNet,seccam,train,476c87ed-83ac-11ee-a88d-9cfeff47d2fa.jpg,1,0,0,11.759544849395752,1.0
FaceNet,seccam,train,47a94336-83ac-11ee-8a48-9cfeff47d2fa.jpg,1,0,0,12.437717199325562,1.0
FaceNet,seccam,train,47e60921-83ac-11ee-8188-9cfeff47d2fa.jpg,2,1,0,12.479810953140259,1.0
FaceNet,seccam,train,482399c5-83ac-11ee-b18d-9cfeff47d2fa.jpg,1,0,0,12.606104373931885,1.0
FaceNet,seccam,train,489d1547-83ac-11ee-b751-9cfeff47d2fa.jpg,1,0,0,12.580497026443481,1.0
FaceNet,seccam,train,48da29b8-83ac-11ee-9494-9cfeff47d2fa.jpg,0,0,1,12.163300514221191,0.0
FaceNet,seccam,train,49175421-83ac-11ee-8e37-9cfeff47d2fa.jpg,0,0,1,12.150306463241577,0.0
FaceNet,seccam,train,4954300a-83ac-11ee-a1c8-9cfeff47d2fa.jpg,1,1,1,12.394139289855957,0.0
FaceNet,seccam,train,4991b5d6-83ac-11ee-8469-9cfeff47d2fa.jpg,1,0,0,11.802624225616455,1.0
